# k | P(k), new model with metallicity | P(k), old model.
# Units are Mpc^-1 for k and Mpc^3 * Jy^2 / sr^2 for both P(k).
# For tobs = 40 0000h.
0.010408 11243803480.256701 10852949787.233467
0.031225 319679521.405091 312152519.980042
0.052042 215740517.134990 196469408.193497
0.072858 105973802.476113 91511799.902291
0.093675 91131452.605590 79916890.330896
0.114492 50708771.607657 44871994.664907
0.135308 45058144.223675 36899910.277793
0.156125 33510607.666133 28843240.833146
0.176942 26616398.999317 21447348.975607
0.197758 22400637.749933 18929593.263967
0.218575 20011175.213262 16309533.836539
0.239392 17347591.513648 14210876.230506
0.260208 16013062.322598 13245772.834174
0.281025 13710912.481315 10888347.187394
0.301842 12160993.169777 9868226.427229
0.322659 10783224.229840 8706601.679026
0.343475 10593490.323067 8316391.661756
0.364292 9502179.843252 7365190.520821
0.385109 9055142.701817 6980381.752719
0.405925 8599982.904502 6759770.295839
0.426742 7863650.269467 6389957.932819
0.447559 7353080.504843 6286827.784873
0.468375 7180299.652889 5760514.277311
0.489192 6559349.258739 5307775.558448
0.510009 6375599.058617 4636452.442695
0.530825 5790835.718104 4399444.927326
0.551642 5644288.672123 4434739.243146
0.572459 5364791.365946 4104808.836509
0.593275 5128753.940813 3888866.539066
0.614092 4818426.961988 3566570.918912
0.634909 4653827.589425 3520688.522072
0.655725 4411717.269047 3324220.511443
0.676542 4375830.967572 3299963.163488
0.697359 4196699.337008 3167012.555324
0.718175 4195927.707370 3122622.494176
0.738992 4079327.097062 2933731.866591
0.759809 3773155.591667 2765180.868469
0.780625 3737602.098506 2681169.277300
0.801442 3586286.028276 2646241.761262
0.822259 3489208.758251 2499552.819308
0.843076 3427439.607536 2472609.995857
0.863892 3288581.947495 2347939.882067
0.884709 3152419.422406 2323148.562446
0.905526 3092671.880342 2160663.028000
0.926342 2964387.712499 2124805.893988
0.947159 2990262.893951 2100535.780728
0.967976 2882914.995469 2098585.929988
0.988792 2847874.077369 1931596.484743
1.009609 2765484.564527 1935442.377677
1.030426 2721872.859059 1896780.465107
1.051242 2687754.293736 1903135.245662
1.072059 2614416.765988 1804479.491181
1.092876 2557614.119409 1772141.596044
1.113692 2536727.141640 1749372.557379
1.134509 2441720.175167 1657565.926395
1.155326 2406531.650093 1644540.535081
1.176142 2358055.749860 1582348.172415
1.196959 2342435.858088 1566781.764778
1.217776 2259300.124098 1520252.680664
1.238592 2197320.199893 1482943.985785
1.259409 2228359.039028 1469924.393861
1.280226 2180940.845602 1480253.008243
1.301042 2146418.556893 1463853.580758
1.321859 2114433.368010 1395600.613835
1.342676 2110935.095223 1372324.243520
1.363493 2081536.402471 1402242.299353
1.384309 2060214.421859 1356439.146364
1.405126 2029229.215143 1357576.438209
1.425943 1989930.572687 1308315.664949
1.446759 1930612.442826 1334139.843605
1.467576 1955276.770859 1301036.835234
1.488393 1886749.688221 1248728.963433
1.509209 1905818.204339 1243600.112157
1.530026 1843312.734846 1205825.521426
1.550843 1857939.737250 1189269.175130
1.571659 1824059.197344 1189193.369814
1.592476 1801552.612331 1171575.328824
1.613293 1827957.649422 1176823.784318
1.634109 1769930.157791 1154939.269275
1.654926 1729980.959797 1090865.706334
1.675743 1704817.561164 1090434.040685
1.696559 1699021.533198 1078392.985544
1.717376 1698086.002449 1075428.646011
1.738193 1667604.555155 1047141.674127
1.759009 1649297.668355 1043312.437006
1.779826 1611289.485599 1025369.361099
1.800643 1610419.744979 1020794.265387
1.821459 1616259.760430 997021.043771
1.842276 1585753.998358 981641.643973
1.863093 1570308.099160 990792.364493
1.883910 1571154.913935 955835.010188
1.904726 1538011.858411 945404.119401
1.925543 1535123.294144 973365.703659
1.946360 1518308.419531 923331.430451
1.967176 1530844.089936 900970.937094
1.987993 1510956.321426 924837.045471
2.008810 1497756.187751 931095.614652
2.029626 1469204.083851 891372.214655
2.050443 1452821.682721 882660.897453
2.071260 1466664.815104 885359.409898
2.092076 1461269.349115 861734.200984
2.112893 1448563.540526 878044.348968
2.133710 1446526.204275 872421.571916
2.154526 1426434.353413 857661.130059
2.175343 1417126.131215 831022.569773
2.196160 1419527.155766 822214.871687
2.216976 1404646.087403 837937.958163
2.237793 1391547.483728 821450.656061
2.258610 1385948.732412 823133.357389
2.279426 1375346.530166 824884.439239
2.300243 1367531.537451 819085.049884
2.321060 1379752.605306 806163.588128
2.341876 1352756.332449 791391.063454
2.362693 1347883.183781 777153.816292
2.383510 1367685.062681 770225.715803
2.404327 1321634.620511 767165.797603
2.425143 1324847.148125 766012.262503
2.445960 1337164.702868 755211.983899
2.466777 1319901.689722 748186.351997
2.487593 1336054.149150 763727.363120
2.508410 1335905.774059 779932.598860
2.529227 1312825.868567 737848.702209
2.550043 1309960.473613 750094.067555
2.570860 1288091.021745 725581.200746
2.591677 1288535.753256 722024.625944
2.612493 1298410.945467 727438.078018
2.633310 1283813.330678 734030.249937
2.654127 1276937.335971 725150.130564
2.674943 1276815.105967 696067.833818
2.695760 1275575.147199 718404.801422
2.716577 1251059.132471 697886.351687
2.737393 1277103.297100 703718.994834
2.758210 1259187.772191 701129.121702
2.779027 1267755.996415 689421.352077
2.799843 1254304.200269 682691.987379
2.820660 1250765.097432 684669.075157
2.841477 1254626.473401 690262.171561
2.862293 1250439.583204 682597.165713
2.883110 1238746.972342 670747.884844
2.903927 1221441.293135 659779.819200
2.924744 1236000.490806 674488.748253
2.945560 1240980.956442 671910.502124
2.966377 1213881.714932 653622.329465
2.987194 1209254.756493 647408.389250
3.008010 1202464.845070 650556.231218
3.028827 1200320.926458 663159.742168
